"asc_none","wtp_top_poll","wtp_top_bdiv","wtp_aud_sele","wtp_aud_compl","wtp_RepPrep_cons","wtp_confid_yes","b_mon","logLike"
0,0,0,0,0,0,0,0,-265.864173857682
-0.325294303561298,0,0,0,0,0,0,0.00200975543773312,-259.13611766593
-0.335700022146427,1.20238220778486,-0.339388174701347,0.226227142845319,-4.49664304475318,0.989836104876609,3.86400119291203,0.0022115475026274,-258.835937980213
-0.398362486581563,9.21914285180842,-2.68179812898614,1.80824468807571,-34.3421934730568,7.65467947699411,29.6893038897851,0.00376471109319237,-257.281304459476
-0.769136819560954,2.79881429283361,-14.035070643311,-53.58764496035,-141.007715340989,5.59282597960821,58.6441079947069,0.00372522992255728,-256.336836751712
-0.319854447094973,30.8576089465972,19.1301123156302,-74.6188403654998,-189.538347900505,19.9153678541928,91.6611712225669,0.00344264719311943,-252.291131161691
-0.291376011143839,32.4815325025141,17.7714307888178,-77.0322705988805,-194.876186550621,19.0462242707323,93.0199444233244,0.00329381767395693,-252.237306625501
-0.289007393250528,32.9633112160138,17.9697772088554,-77.3573469321951,-194.82775721656,19.104725430925,93.0636515389666,0.00329825033718878,-252.237199652998
-0.289242855541401,32.9417441804065,17.9464349082357,-77.3565579072287,-194.896899183892,19.0709319497315,93.0857568052459,0.00329665967361681,-252.237198662413
-0.289213945611396,32.9462438937353,17.9486667425809,-77.357658050736,-194.889586543904,19.073376208564,93.0840616438413,0.00329684147614898,-252.237198643119
