"asc_cart","b_cost","asc_carnt","b_time","asc_bus","asc_tr","asc_bw","logLike"
-0.1,-0.2,0.4,0.4,0.1,0.01,-0.04,-13980.3560431657
0.0859025352392875,-0.249469425805593,0.184231493551742,0.389996421111107,0.301118976678758,0.209267201074495,0.153726909371535,-12857.4929357079
0.0853319368851651,-0.249942848390038,-0.830256923601102,0.390617674591257,0.301057634155564,0.208837514209022,0.153647497611709,-11161.5211157119
0.0798176682702962,-0.251570216216743,-3.56631419301404,0.391447515718948,0.297198474536968,0.202086754729286,0.152113064077661,-6867.08481408614
0.0443932541459666,-0.255046394251221,-5.11393303463722,0.39001227983833,0.263770473426541,0.148106026843293,0.144010301519926,-5039.95156991539
-0.0684874894013274,-0.234239235182032,-3.81540896762909,0.248320396094824,0.134315729506339,-0.00109952048176995,0.0934381989510716,-3681.99170978958
-0.113200683523153,-0.212280285928772,-0.385508855298849,0.0327149741515826,0.0314126488636674,-0.086917692096695,0.0812900697528523,-3238.64202128379
-0.0863521908485573,-0.203678985827423,1.01686444081261,-0.0320870163395218,0.020279752004429,-0.0404193705653762,0.0941107862546009,-3215.15867286444
-0.0813829066181879,-0.200960007176655,1.15855615252373,-0.0375616800055277,0.0207475307379109,-0.0407418649134522,0.0919938212652522,-3214.72299900415
-0.0803275160796312,-0.200468016460011,1.15554814283628,-0.037405608831638,0.020825208224507,-0.0403235592455422,0.0926294221370941,-3214.72242594842
-0.0802025757587954,-0.200437827794263,1.15531791298371,-0.0373923561323258,0.0209281420421679,-0.0402835346080921,0.0926167610452734,-3214.72242213668
-0.0802034604464833,-0.200437061986996,1.1553243805241,-0.0373928485334019,0.0209273803509761,-0.0402826000955921,0.0926161619975999,-3214.72242213383
